




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (5851)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
positive regulation of cellular process (GO:0048522)	5741	1878	1631.01	+	1.15	4.53E-10	3.36E-08
transport (GO:0006810)	4476	1461	1271.62	+	1.15	2.15E-07	1.13E-05
negative regulation of cellular process (GO:0048523)	4902	1598	1392.65	+	1.15	4.88E-08	2.90E-06
negative regulation of biological process (GO:0048519)	5501	1767	1562.82	+	1.13	1.71E-07	9.26E-06
localization (GO:0051179)	5831	1854	1656.58	+	1.12	6.45E-07	3.16E-05
positive regulation of biological process (GO:0048518)	6331	2007	1798.62	+	1.12	2.82E-07	1.47E-05
cellular process (GO:0009987)	15495	4829	4402.10	+	1.10	7.95E-33	3.31E-30
biological_process (GO:0008150)	17851	5351	5071.43	+	1.06	2.70E-24	6.36E-22
cellular response to stimulus (GO:0051716)	6807	1801	1933.86	-	.93	1.07E-03	2.55E-02
response to stimulus (GO:0050896)	8540	2212	2426.20	-	.91	4.71E-07	2.37E-05
response to chemical (GO:0042221)	4381	1117	1244.63	-	.90	2.80E-04	8.09E-03
multicellular organismal process (GO:0032501)	6926	1685	1967.66	-	.86	2.46E-12	2.30E-10
tissue development (GO:0009888)	1729	415	491.21	-	.84	1.23E-03	2.90E-02
movement of cell or subcellular component (GO:0006928)	1596	375	453.42	-	.83	5.18E-04	1.37E-02
immune system process (GO:0002376)	2903	681	824.74	-	.83	9.88E-07	4.69E-05
cell surface receptor signaling pathway (GO:0007166)	2495	583	708.82	-	.82	4.73E-06	1.95E-04
signal transduction (GO:0007165)	5227	1216	1484.98	-	.82	2.78E-13	2.89E-11
cell communication (GO:0007154)	5656	1306	1606.86	-	.81	1.69E-15	2.04E-13
epithelium development (GO:0060429)	1113	254	316.20	-	.80	1.04E-03	2.48E-02
signaling (GO:0023052)	5565	1269	1581.01	-	.80	9.10E-17	1.26E-14
negative regulation of multicellular organismal process (GO:0051241)	1014	231	288.08	-	.80	1.64E-03	3.70E-02
cation transport (GO:0006812)	824	184	234.10	-	.79	2.23E-03	4.81E-02
cell-cell signaling (GO:0007267)	1131	252	321.31	-	.78	2.83E-04	8.15E-03
response to external stimulus (GO:0009605)	2525	561	717.35	-	.78	1.17E-08	7.68E-07
regulation of immune system process (GO:0002682)	1717	381	487.80	-	.78	3.55E-06	1.50E-04
regulation of response to external stimulus (GO:0032101)	1199	265	340.63	-	.78	1.14E-04	3.66E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	352	452.57	-	.78	6.30E-06	2.57E-04
ion transport (GO:0006811)	1200	261	340.92	-	.77	4.31E-05	1.50E-03
regulation of defense response (GO:0031347)	852	183	242.05	-	.76	3.75E-04	1.05E-02
response to biotic stimulus (GO:0009607)	1547	329	439.50	-	.75	4.27E-07	2.17E-05
localization of cell (GO:0051674)	1109	235	315.06	-	.75	1.80E-05	6.73E-04
cell motility (GO:0048870)	1109	235	315.06	-	.75	1.80E-05	6.72E-04
ion transmembrane transport (GO:0034220)	870	184	247.17	-	.74	1.50E-04	4.67E-03
locomotion (GO:0040011)	1345	280	382.11	-	.73	5.60E-07	2.78E-05
inorganic ion transmembrane transport (GO:0098660)	637	131	180.97	-	.72	4.83E-04	1.29E-02
cell migration (GO:0016477)	968	199	275.01	-	.72	1.25E-05	4.79E-04
positive regulation of immune system process (GO:0002684)	1069	218	303.70	-	.72	2.73E-06	1.18E-04
regulation of ion transmembrane transport (GO:0034765)	502	102	142.62	-	.72	1.48E-03	3.38E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	99	139.78	-	.71	1.31E-03	3.06E-02
regulation of immune response (GO:0050776)	1183	238	336.09	-	.71	2.83E-07	1.47E-05
positive regulation of cytokine production (GO:0001819)	489	98	138.92	-	.71	1.07E-03	2.55E-02
immune response-regulating signaling pathway (GO:0002764)	495	99	140.63	-	.70	9.54E-04	2.31E-02
regulation of lymphocyte activation (GO:0051249)	536	107	152.28	-	.70	5.27E-04	1.39E-02
regulation of leukocyte activation (GO:0002694)	622	124	176.71	-	.70	1.68E-04	5.18E-03
regulation of cell activation (GO:0050865)	664	131	188.64	-	.69	6.43E-05	2.16E-03
response to other organism (GO:0051707)	1425	281	404.84	-	.69	2.21E-09	1.55E-07
response to external biotic stimulus (GO:0043207)	1426	281	405.12	-	.69	2.21E-09	1.54E-07
positive regulation of immune response (GO:0050778)	747	147	212.22	-	.69	1.96E-05	7.24E-04
divalent inorganic cation homeostasis (GO:0072507)	481	94	136.65	-	.69	5.45E-04	1.42E-02
regulation of system process (GO:0044057)	585	114	166.20	-	.69	1.23E-04	3.93E-03
epithelial cell differentiation (GO:0030855)	686	133	194.89	-	.68	2.24E-05	8.18E-04
anion transport (GO:0006820)	460	89	130.69	-	.68	5.90E-04	1.53E-02
cellular divalent inorganic cation homeostasis (GO:0072503)	460	89	130.69	-	.68	5.90E-04	1.53E-02
immune response (GO:0006955)	2075	401	589.50	-	.68	1.40E-14	1.53E-12
activation of immune response (GO:0002253)	530	102	150.57	-	.68	1.82E-04	5.55E-03
circulatory system process (GO:0003013)	481	92	136.65	-	.67	2.95E-04	8.47E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	87	129.26	-	.67	4.47E-04	1.21E-02
immune response-activating signal transduction (GO:0002757)	455	87	129.26	-	.67	4.47E-04	1.21E-02
cellular calcium ion homeostasis (GO:0006874)	425	79	120.74	-	.65	3.36E-04	9.49E-03
calcium ion homeostasis (GO:0055074)	438	81	124.43	-	.65	2.20E-04	6.59E-03
taxis (GO:0042330)	550	101	156.25	-	.65	2.45E-05	8.88E-04
regulation of ion transport (GO:0043269)	703	129	199.72	-	.65	1.52E-06	6.89E-05
chemotaxis (GO:0006935)	547	100	155.40	-	.64	1.91E-05	7.09E-04
Unclassified (UNCLASSIFIED)	2744	500	779.57	-	.64	2.70E-24	6.27E-22
synaptic signaling (GO:0099536)	464	83	131.82	-	.63	4.67E-05	1.62E-03
positive regulation of cell activation (GO:0050867)	440	78	125.00	-	.62	5.77E-05	1.96E-03
positive regulation of leukocyte activation (GO:0002696)	429	76	121.88	-	.62	7.36E-05	2.46E-03
regulation of blood circulation (GO:1903522)	278	49	78.98	-	.62	1.27E-03	2.98E-02
negative regulation of immune system process (GO:0002683)	597	105	169.61	-	.62	1.54E-06	6.97E-05
phagocytosis (GO:0006909)	329	57	93.47	-	.61	3.25E-04	9.18E-03
defense response to other organism (GO:0098542)	1038	177	294.89	-	.60	1.49E-11	1.30E-09
defense response (GO:0006952)	1426	242	405.12	-	.60	6.74E-16	8.59E-14
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	48	80.40	-	.60	5.15E-04	1.36E-02
positive regulation of lymphocyte activation (GO:0051251)	384	65	109.09	-	.60	4.45E-05	1.55E-03
epidermis development (GO:0008544)	422	71	119.89	-	.59	1.79E-05	6.71E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	321	54	91.20	-	.59	2.06E-04	6.20E-03
cell adhesion (GO:0007155)	953	159	270.75	-	.59	1.99E-11	1.71E-09
blood circulation (GO:0008015)	390	65	110.80	-	.59	2.37E-05	8.60E-04
innate immune response (GO:0045087)	848	141	240.92	-	.59	2.18E-10	1.65E-08
biological adhesion (GO:0022610)	959	159	272.45	-	.58	1.05E-11	9.25E-10
chemical synaptic transmission (GO:0007268)	414	68	117.62	-	.58	8.71E-06	3.45E-04
anterograde trans-synaptic signaling (GO:0098916)	414	68	117.62	-	.58	8.71E-06	3.44E-04
sensory perception of light stimulus (GO:0050953)	220	36	62.50	-	.58	1.42E-03	3.27E-02
second-messenger-mediated signaling (GO:0019932)	221	36	62.79	-	.57	1.13E-03	2.68E-02
trans-synaptic signaling (GO:0099537)	432	70	122.73	-	.57	3.59E-06	1.51E-04
positive regulation of ion transport (GO:0043270)	297	48	84.38	-	.57	1.43E-04	4.45E-03
negative regulation of immune response (GO:0050777)	373	60	105.97	-	.57	1.44E-05	5.47E-04
negative regulation of defense response (GO:0031348)	402	64	114.21	-	.56	4.63E-06	1.92E-04
response to interferon-gamma (GO:0034341)	183	29	51.99	-	.56	2.08E-03	4.53E-02
skin development (GO:0043588)	385	61	109.38	-	.56	6.55E-06	2.66E-04
system process (GO:0003008)	2057	324	584.39	-	.55	3.66E-28	1.18E-25
visual perception (GO:0007601)	217	34	61.65	-	.55	7.32E-04	1.84E-02
negative regulation of response to external stimulus (GO:0032102)	559	87	158.81	-	.55	2.20E-08	1.37E-06
cell-cell adhesion (GO:0098609)	515	80	146.31	-	.55	7.74E-08	4.40E-06
regulation of inflammatory response (GO:0050727)	518	79	147.16	-	.54	2.67E-08	1.65E-06
regulation of immune effector process (GO:0002697)	435	66	123.58	-	.53	3.74E-07	1.91E-05
epidermal cell differentiation (GO:0009913)	322	48	91.48	-	.52	8.97E-06	3.54E-04
inflammatory response (GO:0006954)	498	74	141.48	-	.52	1.79E-08	1.14E-06
extracellular structure organization (GO:0043062)	384	57	109.09	-	.52	7.85E-07	3.77E-05
regulation of B cell activation (GO:0050864)	216	32	61.37	-	.52	2.81E-04	8.10E-03
cell chemotaxis (GO:0060326)	203	30	57.67	-	.52	4.51E-04	1.22E-02
sodium ion transport (GO:0006814)	176	26	50.00	-	.52	1.15E-03	2.71E-02
extracellular matrix organization (GO:0030198)	383	56	108.81	-	.51	5.36E-07	2.67E-05
response to bacterium (GO:0009617)	721	105	204.83	-	.51	2.86E-12	2.66E-10
leukocyte migration (GO:0050900)	379	55	107.67	-	.51	4.66E-07	2.35E-05
external encapsulating structure organization (GO:0045229)	386	56	109.66	-	.51	4.22E-07	2.15E-05
potassium ion transport (GO:0006813)	167	24	47.44	-	.51	8.56E-04	2.11E-02
production of molecular mediator of immune response (GO:0002440)	141	20	40.06	-	.50	2.19E-03	4.75E-02
potassium ion transmembrane transport (GO:0071805)	158	22	44.89	-	.49	8.14E-04	2.01E-02
nervous system process (GO:0050877)	1416	193	402.28	-	.48	6.61E-27	1.97E-24
membrane invagination (GO:0010324)	148	20	42.05	-	.48	1.01E-03	2.44E-02
myeloid leukocyte migration (GO:0097529)	124	16	35.23	-	.45	1.46E-03	3.35E-02
regulation of blood pressure (GO:0008217)	188	24	53.41	-	.45	5.98E-05	2.02E-03
positive regulation of B cell activation (GO:0050871)	171	21	48.58	-	.43	7.63E-05	2.54E-03
negative regulation of inflammatory response (GO:0050728)	320	39	90.91	-	.43	3.97E-08	2.39E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	31	76.42	-	.41	1.18E-07	6.51E-06
leukocyte chemotaxis (GO:0030595)	143	16	40.63	-	.39	1.08E-04	3.49E-03
cell killing (GO:0001906)	126	14	35.80	-	.39	3.05E-04	8.71E-03
lymphocyte mediated immunity (GO:0002449)	259	28	73.58	-	.38	4.15E-08	2.50E-06
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	11	28.98	-	.38	8.80E-04	2.15E-02
chloride transport (GO:0006821)	103	11	29.26	-	.38	6.41E-04	1.64E-02
granulocyte migration (GO:0097530)	95	10	26.99	-	.37	1.29E-03	3.02E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	14	38.07	-	.37	8.90E-05	2.94E-03
cell recognition (GO:0008037)	241	25	68.47	-	.37	6.33E-08	3.65E-06
keratinocyte differentiation (GO:0030216)	270	28	76.71	-	.37	8.85E-09	5.87E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	23	63.07	-	.36	2.39E-07	1.25E-05
neutrophil migration (GO:1990266)	87	9	24.72	-	.36	1.84E-03	4.09E-02
sensory perception (GO:0007600)	979	100	278.13	-	.36	8.45E-30	3.10E-27
sodium ion transmembrane transport (GO:0035725)	119	12	33.81	-	.35	1.27E-04	4.03E-03
regulation of systemic arterial blood pressure (GO:0003073)	100	10	28.41	-	.35	4.84E-04	1.29E-02
chemokine-mediated signaling pathway (GO:0070098)	80	8	22.73	-	.35	1.87E-03	4.13E-02
plasma membrane invagination (GO:0099024)	141	14	40.06	-	.35	2.44E-05	8.85E-04
defense response to Gram-negative bacterium (GO:0050829)	91	9	25.85	-	.35	9.70E-04	2.34E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	21	63.07	-	.33	3.59E-08	2.18E-06
lymphocyte migration (GO:0072676)	74	7	21.02	-	.33	1.91E-03	4.21E-02
immunoglobulin mediated immune response (GO:0016064)	201	19	57.10	-	.33	1.88E-07	1.00E-05
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	8	24.43	-	.33	6.93E-04	1.75E-02
B cell mediated immunity (GO:0019724)	205	19	58.24	-	.33	6.79E-08	3.89E-06
regulation of humoral immune response (GO:0002920)	142	13	40.34	-	.32	9.43E-06	3.69E-04
antimicrobial humoral response (GO:0019730)	154	14	43.75	-	.32	3.55E-06	1.51E-04
monocarboxylic acid transport (GO:0015718)	100	9	28.41	-	.32	1.81E-04	5.54E-03
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	23	73.30	-	.31	7.15E-10	5.26E-08
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	18	59.09	-	.30	1.74E-08	1.11E-06
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	7	23.30	-	.30	4.89E-04	1.30E-02
granulocyte chemotaxis (GO:0071621)	82	7	23.30	-	.30	4.89E-04	1.30E-02
adaptive immune response (GO:0002250)	658	56	186.94	-	.30	6.05E-25	1.52E-22
G protein-coupled receptor signaling pathway (GO:0007186)	1305	110	370.75	-	.30	1.00E-49	9.89E-47
regulation of postsynaptic membrane potential (GO:0060078)	99	8	28.13	-	.28	9.09E-05	3.00E-03
killing of cells of other organism (GO:0031640)	87	7	24.72	-	.28	2.46E-04	7.24E-03
neutrophil chemotaxis (GO:0030593)	77	6	21.88	-	.27	4.73E-04	1.27E-02
defense response to bacterium (GO:0042742)	350	27	99.43	-	.27	4.96E-15	5.60E-13
regulation of complement activation (GO:0030449)	118	9	33.52	-	.27	8.00E-06	3.19E-04
sensory perception of taste (GO:0050909)	69	5	19.60	-	.26	6.33E-04	1.62E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	12	47.44	-	.25	3.38E-08	2.06E-06
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	7	28.41	-	.25	1.96E-05	7.26E-04
humoral immune response (GO:0006959)	386	27	109.66	-	.25	5.25E-18	7.75E-16
detection of stimulus (GO:0051606)	721	49	204.83	-	.24	1.73E-33	7.60E-31
cornification (GO:0070268)	113	7	32.10	-	.22	2.23E-06	9.88E-05
chloride transmembrane transport (GO:1902476)	65	4	18.47	-	.22	3.90E-04	1.07E-02
phagocytosis, engulfment (GO:0006911)	132	8	37.50	-	.21	1.82E-07	9.77E-06
defense response to fungus (GO:0050832)	51	3	14.49	-	.21	1.56E-03	3.54E-02
B cell receptor signaling pathway (GO:0050853)	129	6	36.65	-	.16	1.60E-08	1.03E-06
neuropeptide signaling pathway (GO:0007218)	109	5	30.97	-	.16	1.93E-07	1.03E-05
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	46.88	-	.15	5.74E-11	4.70E-09
keratinization (GO:0031424)	227	9	64.49	-	.14	3.17E-15	3.74E-13
peptide cross-linking (GO:0018149)	102	4	28.98	-	.14	2.09E-07	1.10E-05
complement activation, classical pathway (GO:0006958)	161	6	45.74	-	.13	1.61E-11	1.40E-09
complement activation (GO:0006956)	177	6	50.29	-	.12	5.89E-13	5.93E-11
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	2	19.03	-	.11	1.35E-05	5.18E-04
detection of stimulus involved in sensory perception (GO:0050906)	557	16	158.24	-	.10	2.45E-41	1.49E-38
icosanoid transport (GO:0071715)	36	1	10.23	-	.10	2.21E-03	4.78E-02
detection of biotic stimulus (GO:0009595)	38	1	10.80	-	.09	1.45E-03	3.32E-02
serotonin receptor signaling pathway (GO:0007210)	39	1	11.08	-	.09	8.97E-04	2.18E-02
sensory perception of bitter taste (GO:0050913)	41	1	11.65	-	.09	5.82E-04	1.51E-02
sensory perception of chemical stimulus (GO:0007606)	543	13	154.27	-	.08	9.37E-43	6.44E-40
monocyte chemotaxis (GO:0002548)	42	1	11.93	-	.08	6.21E-04	1.60E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	11.93	-	.08	6.21E-04	1.59E-02
lymphocyte chemotaxis (GO:0048247)	49	1	13.92	-	.07	1.03E-04	3.37E-03
phagocytosis, recognition (GO:0006910)	106	2	30.11	-	.07	1.51E-09	1.09E-07
detection of chemical stimulus (GO:0009593)	522	8	148.30	-	.05	1.08E-45	8.13E-43
sensory perception of smell (GO:0007608)	468	7	132.96	-	.05	2.96E-41	1.67E-38
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	138.07	-	.02	1.42E-48	1.18E-45
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	125.29	-	 < 0.01	7.02E-47	5.55E-44
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	10.23	-	 < 0.01	1.79E-04	5.47E-03
cell-cell signaling involved in cardiac conduction (GO:0086019)	27	0	7.67	-	 < 0.01	1.85E-03	4.09E-02
opsonization (GO:0008228)	72	0	20.46	-	 < 0.01	2.76E-08	1.70E-06
plasma lipoprotein particle remodeling (GO:0034369)	32	0	9.09	-	 < 0.01	4.58E-04	1.23E-02
protein-lipid complex remodeling (GO:0034368)	32	0	9.09	-	 < 0.01	4.58E-04	1.23E-02
regulation of cellular extravasation (GO:0002691)	32	0	9.09	-	 < 0.01	4.58E-04	1.23E-02
